sample_id	library_id	cell_line	library_type	treatment	file_name
rhh_ATAC_entinostat_bio1_23102015	rhh0179_701_517_ATAC_entinostat_bio1_1_23102015	HACAT	ATAC	Entinostat	rhh0179_701_517_ATAC_entinostat_bio1_1_23102015.SLX-10647.S1_L000_R1_001.fq.gz
rhh_ATAC_entinostat_bio1_23102015	rhh0183_702_502_ATAC_entinostat_bio1_2_23102015	HACAT	ATAC	Entinostat	rhh0183_702_502_ATAC_entinostat_bio1_2_23102015.SLX-10647.S4_L000_R1_001.fq.gz
rhh_ATAC_entinostat_bio1_23102015	rhh0184_703_503_ATAC_entinostat_bio1_3_23102015	HACAT	ATAC	Entinostat	rhh0184_703_503_ATAC_entinostat_bio1_3_23102015.SLX-10647.S5_L000_R1_001.fq.gz
rhh_ATAC_entinostat_bio2_23102015	rhh0180_704_504_ATAC_entinostat_bio2_1_23102015	HACAT	ATAC	Entinostat	rhh0180_704_504_ATAC_entinostat_bio2_1_23102015.SLX-10647.S2_L000_R1_001.fq.gz
rhh_ATAC_entinostat_bio2_23102015	rhh0181_706_502_ATAC_entinostat_bio2_3_23102015	HACAT	ATAC	Entinostat	rhh0181_706_502_ATAC_entinostat_bio2_3_23102015.SLX-10647.S3_L000_R1_001.fq.gz
rhh_ATAC_entinostat_bio2_23102015	rhh0188_705_517_ATAC_entinostat_bio2_2_23102015	HACAT	ATAC	Entinostat	rhh0188_705_517_ATAC_entinostat_bio2_2_23102015.SLX-10647.S6_L000_R1_001.fq.gz
rhh145-146_K3_K4_atac_hacat	rhh145_K3_N710_N501	HACAT	ATAC	NA	rhh145_K3_N710_N501.RHH_ATAC_Phen_DAPI_PDS_K3_K4_06092014.RHH-ATAC-25072014_S7_L000_R1_001.fq.gz
rhh145-146_K3_K4_atac_hacat	rhh145_K3_N710_N501	HACAT	ATAC	NA	rhh145_K3_N710_N501.RHH_ATAC_Phen_DAPI_PDS_K3_K4_07092014.RHH-ATAC-25072014_S7_L000_R1_001.fq.gz
rhh145-146_K3_K4_atac_hacat	rhh145_K3_N710_N501	HACAT	ATAC	NA	rhh145_K3_N710_N501.RHH_ATAC_Phen_DAPI_PDS_K3_K4_28082014.RHH-ATAC-25072014_S7_L000_R1_001.fq.gz
rhh145-146_K3_K4_atac_hacat	rhh146_K4_N711_N501	HACAT	ATAC	NA	rhh146_K4_N711_N501.RHH_ATAC_Phen_DAPI_PDS_K3_K4_06092014.RHH-ATAC-25072014_S8_L000_R1_001.fq.gz
rhh145-146_K3_K4_atac_hacat	rhh146_K4_N711_N501	HACAT	ATAC	NA	rhh146_K4_N711_N501.RHH_ATAC_Phen_DAPI_PDS_K3_K4_07092014.RHH-ATAC-25072014_S8_L000_R1_001.fq.gz
rhh145-146_K3_K4_atac_hacat	rhh146_K4_N711_N501	HACAT	ATAC	NA	rhh146_K4_N711_N501.RHH_ATAC_Phen_DAPI_PDS_K3_K4_28082014.RHH-ATAC-25072014_S8_L000_R1_001.fq.gz
rhh147-148_untreat_14102014_atac_hacat	rhh147_unteated_rep2_14102014	HACAT	ATAC	NA	rhh147_unteated_rep2_14102014.ATAC_SYBR_PhenDC3_PDS_BG4_03112014.RHH-ATAC-14102014_S3_L000_R1_001.fq.gz
rhh147-148_untreat_14102014_atac_hacat	rhh147_unteated_rep2_14102014	HACAT	ATAC	NA	rhh147_unteated_rep2_14102014.ATAC_SYBR_PhenDC3_PDS_BG4_29102014.RHH-ATAC-14102014_S3_L000_R1_001.fq.gz
rhh147-148_untreat_14102014_atac_hacat	rhh148_untreated_rep1_14102014	HACAT	ATAC	NA	rhh148_untreated_rep1_14102014.ATAC_SYBR_PhenDC3_PDS_BG4_03112014.RHH-ATAC-14102014_S7_L000_R1_001.fq.gz
rhh147-148_untreat_14102014_atac_hacat	rhh148_untreated_rep1_14102014	HACAT	ATAC	NA	rhh148_untreated_rep1_14102014.ATAC_SYBR_PhenDC3_PDS_BG4_29102014.RHH-ATAC-14102014_S7_L000_R1_001.fq.gz
rhh149-150_untreat_27052014_atact_hacat	rhh149_untreatedRep1P70127052014	HACAT	ATAC	NA	rhh149_untreatedRep1P70127052014.RHH_SLX-8386.RHH_S4_L000_R1_001.fq.gz
rhh149-150_untreat_27052014_atact_hacat	rhh150_untreatedRep2P70327052014	HACAT	ATAC	NA	rhh150_untreatedRep2P70327052014.RHH_SLX-8386.RHH_S3_L000_R1_001.fq.gz
rhh175_ChIPwthacat_704_502_entst_26082015	rhh175_ChIPwthacat_704_502_entst_26082015	HACAT	BG4	NA	rhh175_ChIPwthacat_704_502_entst_26082015.SLX-10845_entinostat.SLX-10845_S4_L000_R1_001.fq.gz
rhh_ChIP_entst_17082015	rhh169_ChIP1_702_502_entst_17082015	HACAT	BG4	Entinostat	rhh169_ChIP1_702_502_entst_17082015.SLX-10845_entinostat.SLX-10845_S3_L000_R1_001.fq.gz
rhh_ChIP_entst_17082015	rhh169_ChIP1_702_502_entst_17082015	HACAT	BG4	Entinostat	rhh169_ChIP1_702_502_entst_17082015.SLX-10850.SLX-10845_S3_L000_R1_001.fq.gz
rhh_ChIP_entst_17082015	rhh171_ChIP3_703_503_entst_17082015	HACAT	BG4	Entinostat	rhh171_ChIP3_703_503_entst_17082015.SLX-10845_entinostat.SLX-10845_S7_L000_R1_001.fq.gz
rhh_ChIP_entst_17082015	rhh171_ChIP3_703_503_entst_17082015	HACAT	BG4	Entinostat	rhh171_ChIP3_703_503_entst_17082015.SLX-10850.SLX-10845_S6_L000_R1_001.fq.gz
rhh_ChIP_entst_17082015	rhh172_ChIP4_704_504_entst_17082015	HACAT	BG4	Entinostat	rhh172_ChIP4_704_504_entst_17082015.SLX-10845_entinostat.SLX-10845_S9_L000_R1_001.fq.gz
rhh_ChIP_entst_17082015	rhh172_ChIP4_704_504_entst_17082015	HACAT	BG4	Entinostat	rhh172_ChIP4_704_504_entst_17082015.SLX-10850.SLX-10845_S9_L000_R1_001.fq.gz
rhh_ChIP_entst_26082015	rhh170_ChIP10_702_504_entst_26082015	HACAT	BG4	Entinostat	rhh170_ChIP10_702_504_entst_26082015.SLX-10845_entinostat.SLX-10845_S8_L000_R1_001.fq.gz
rhh_ChIP_entst_26082015	rhh170_ChIP10_702_504_entst_26082015	HACAT	BG4	Entinostat	rhh170_ChIP10_702_504_entst_26082015.SLX-10850.SLX-10845_S8_L000_R1_001.fq.gz
rhh_ChIP_entst_26082015	rhh173_ChIP8_706_502_entst_26082015	HACAT	BG4	Entinostat	rhh173_ChIP8_706_502_entst_26082015.SLX-10845_entinostat.SLX-10845_S5_L000_R1_001.fq.gz
rhh_ChIP_entst_26082015	rhh173_ChIP8_706_502_entst_26082015	HACAT	BG4	Entinostat	rhh173_ChIP8_706_502_entst_26082015.SLX-10850.SLX-10845_S4_L000_R1_001.fq.gz
rhh_ChIP_entst_26082015	rhh174_ChIP9_701_503_entst_26082015	HACAT	BG4	Entinostat	rhh174_ChIP9_701_503_entst_26082015.SLX-10845_entinostat.SLX-10845_S6_L000_R1_001.fq.gz
rhh_ChIP_entst_26082015	rhh174_ChIP9_701_503_entst_26082015	HACAT	BG4	Entinostat	rhh174_ChIP9_701_503_entst_26082015.SLX-10850.SLX-10845_S5_L000_R1_001.fq.gz
rhh_25cyc_BG4_12082015	rhh151_25cyc_BG4_Rep1_701_517_12082015	HACAT	BG4	NA	rhh151_25cyc_BG4_Rep1_701_517_12082015.SLX-10276.S1_L000_R1_001.fq.gz
rhh_25cyc_BG4_12082015	rhh153_25cyc_BG4_Rep2_702_502_12082015	HACAT	BG4	NA	rhh153_25cyc_BG4_Rep2_702_502_12082015.SLX-10276.S3_L000_R1_001.fq.gz
rhh_hacat_05082014_FAIRE	rhh055_FAIRE_Input1_N701_N501_05082014	HACAT	FAIRE	NA	rhh055_FAIRE_Input1_N701_N501_05082014.140805_NS500222_0017_AH0TR7AGXX.S1_L000_R1_001.fq.gz
rhh_hacat_05082014_FAIRE	rhh055_FAIRE_Input1_N701_N501_05082014	HACAT	FAIRE	NA	rhh055_FAIRE_Input1_N701_N501_05082014.140806_NS500222_0018_AH0UD5AGXX.S1_L000_R1_001.fq.gz
rhh_hacat_05082014_FAIRE	rhh055_FAIRE_Input1_N701_N501_05082014	HACAT	FAIRE	NA	rhh055_FAIRE_Input1_N701_N501_05082014.140901_NS500383_0003_AH0YU7BGXX.S1_L000_R1_001.fq.gz
rhh_hacat_05082014_FAIRE	rhh056_FAIRE_Input2_N703_N501_05082014	HACAT	FAIRE	NA	rhh056_FAIRE_Input2_N703_N501_05082014.140805_NS500222_0017_AH0TR7AGXX.S2_L000_R1_001.fq.gz
rhh_hacat_05082014_FAIRE	rhh056_FAIRE_Input2_N703_N501_05082014	HACAT	FAIRE	NA	rhh056_FAIRE_Input2_N703_N501_05082014.140806_NS500222_0018_AH0UD5AGXX.S2_L000_R1_001.fq.gz
rhh_hacat_05082014_FAIRE	rhh056_FAIRE_Input2_N703_N501_05082014	HACAT	FAIRE	NA	rhh056_FAIRE_Input2_N703_N501_05082014.140901_NS500383_0003_AH0YU7BGXX.S2_L000_R1_001.fq.gz
